,FundingType,Funded,FundingAmount
0,Angel,2017,20422063.0
1,Angel,2018,35060688.0
2,Angel,2019,3993174.0
3,Other,2017,1766181701.0
4,Other,2018,6497184718.0
5,Other,2019,1505351551.0
6,Pre-Seed,2017,2516332.0
7,Pre-Seed,2018,6820672.0
8,Pre-Seed,2019,2890448.0
9,Seed,2017,177085125.0
10,Seed,2018,438378276.0
11,Seed,2019,244099085.0
12,Series A,2017,739964291.0
13,Series A,2018,1360639638.0
14,Series A,2019,909944615.0
15,Series B,2017,495965466.0
16,Series B,2018,1982866012.0
17,Series B,2019,1208970956.0
18,Series C,2017,565986573.0
19,Series C,2018,666795311.0
20,Series C,2019,940971180.0
21,Series D,2017,292300000.0
22,Series D,2018,1093097847.0
23,Series D,2019,1162000000.0
24,Series E,2017,196830739.0
25,Series E,2018,985572500.0
26,Series E,2019,844369329.0
27,Series F,2017,80000000.0
28,Series F,2018,231700000.0
29,Series F,2019,123000000.0
30,Series G,2018,100000000.0
31,Series G,2019,279000000.0
